image,title,description,tags,link1,link2
shirts/wizard/unisex-classic-tee-sand-front.jpg,Wizard,"A mystical t-shirt design for wizards and spellcasters.","man, guy, male, boy, mountain, wizard, magic, fantasy, t-shirt, company, logo",https://mountainwizardllc.etsy.com/listing/1765613918/mountain-wizard-unisex-classic-tee,https://mountainwizardllc.com/
shirts/cowboy/unisex-classic-tee-sand-front.jpg,Cowboy,"A rugged t-shirt design for fans of the Wild West.","man, guy, male, boy, mountain, cowboy, western, t-shirt, rugged",https://mountainwizardllc.etsy.com/listing/1765646876/mountain-cowboy-unisex-classic-tee,https://mountainwizardllc.com/
shirts/cowgirl/unisex-classic-tee-sand-front.jpg,Cowgirl,"A fashionable t-shirt design for the bold cowgirl.","woman, women, female, girl, lady, cowgirl, cowboy, western, t-shirt, stylish, mountain",https://mountainwizardllc.etsy.com/listing/1779845101/mountain-cowgirl-unisex-classic-tee,https://mountainwizardllc.com/
shirts/groom/unisex-classic-tee-sand-front.jpg,Groom,"A stylish t-shirt design for the groom at a wedding.","man, guy, male, boy, mountain, wedding, groom, celebration, t-shirt",https://www.etsy.com/listing/1775857292/mountain-groom-unisex-classic-tee?click_key=7a1312c925d9fbd28b74bc7ba471243ca8804c94%3A1775857292&click_sum=c6cceb81&ref=shop_home_active_15,https://mountainwizardllc.com/
shirts/bride/unisex-classic-tee-sand-front.jpg,Bride,"A beautiful bride's t-shirt design for special occasions.","woman, women, female, girl, lady, wedding, bride, celebration, t-shirt, mountain",https://www.etsy.com/listing/1790057281/mountain-bride-unisex-classic-tee?click_key=2c6fe9ef8653317c0d49d01a65fadb894674badd%3A1790057281&click_sum=ed86b2fe&ref=shop_home_active_16,https://mountainwizardllc.com/
shirts/hunter/unisex-classic-tee-sand-front.jpg,Hunter,"A t-shirt celebrating all hunters, reflecting the rugged spirit of tracking and surviving.","man, guy, male, boy, mountain, hunter, t-shirt, outdoors, rifle",https://mountainwizardllc.etsy.com/listing/1805962560/mountain-hunter-unisex-classic-tee,https://mountainwizardllc.com/
shirts/huntress/unisex-classic-tee-sand-front.jpg,Huntress,"A t-shirt for huntresses who embody courage and resilience in their pursuit of the hunt.","woman, women, female, girl, lady, mountain, huntress, hunter, t-shirt, outdoors",https://mountainwizardllc.etsy.com/listing/1805963108/mountain-huntress-unisex-classic-tee,https://mountainwizardllc.com/
shirts/birdHunter/unisex-classic-tee-sand-front.jpg,Bird Hunter,"A t-shirt celebrating the skill and patience of bird hunters, perfect for outdoor enthusiasts.","man, guy, male, boy, mountain, bird, hunter, t-shirt, outdoors",https://mountainwizardllc.etsy.com/listing/1805923704/mountain-bird-hunter-unisex-classic-tee,https://mountainwizardllc.com/
shirts/birdHuntress/unisex-classic-tee-sand-front.jpg,Bird Huntress,"A t-shirt honoring bird huntresses who embrace the thrill of the hunt in the great outdoors.","woman, women, female, girl, lady, mountain, bird, huntress, hunter, t-shirt, outdoors",https://mountainwizardllc.etsy.com/listing/1805927054/mountain-bird-huntress-unisex-classic,https://mountainwizardllc.com/
shirts/bowHunter/unisex-classic-tee-sand-front.jpg,Bow Hunter,"A t-shirt designed for male bow hunters, capturing the art of silent precision and nature's challenge.","man, guy, male, boy, mountain, bow, hunter, t-shirt, outdoors",https://mountainwizardllc.etsy.com/listing/1820129759/mountain-bow-hunter-unisex-classic-tee,https://mountainwizardllc.com/
shirts/bowHuntress/unisex-classic-tee-sand-front.jpg,Bow Huntress,"A t-shirt for bow huntresses who combine strength and elegance in their outdoor adventures.","woman, women, female, girl, lady, mountain, bow, huntress, hunter, t-shirt, outdoors",https://mountainwizardllc.etsy.com/listing/1820161337/mountain-bow-huntress-unisex-classic-tee,https://mountainwizardllc.com/
shirts/buckinMH/unisex-classic-tee-sand-front.jpg,Buckin Montana HM,"A t-shirt showcasing a man riding a bucking horse with Buckin Montana proudly displayed around the image. Perfect for rodeo fans and outdoor adventurers.","man, guy, male, boy, buckin, montana, t-shirt, outdoors, horse, cowboy, western, ",https://mountainwizardllc.etsy.com/listing/1833308607/buckin-montana-hm-unisex-classic-tee,https://mountainwizardllc.com/
shirts/buckinWH/unisex-classic-tee-sand-front.jpg,Buckin Montana HW,"A t-shirt featuring a woman riding a bucking horse with Buckin Montana projected boldly around the design. Ideal for rodeo lovers and western enthusiasts.","woman, women, female, girl, lady, buckin, montana, t-shirt, outdoors, horse, cowboy, cowgirl, western, ",https://mountainwizardllc.etsy.com/listing/1825538168/buckin-montana-hw-unisex-classic-tee,https://mountainwizardllc.com/
shirts/jolfaor/unisex-classic-tee-sand-front.jpg,Jolfaðr,"A t-shirt inspired by Jolfaðr, evoking the spirit of Yule and Nordic traditions.","man, guy, male, boy, mountain, jolfaðr, t-shirt, mythology, yule, norse, norway, norwegian",https://mountainwizardllc.etsy.com/listing/1817136616/mountain-jolfar-unisex-classic-tee,https://mountainwizardllc.com/
shirts/lumberjack/unisex-classic-tee-sand.jpg,Lumberjack,"A flannel-inspired t-shirt for the hardworking lumberjack.","man, guy, male, boy, mountain, lumberjack, flannel, outdoors, t-shirt",https://mountainwizardllc.etsy.com/listing/1779847825/mountain-lumberjack-unisex-classic-tee,https://mountainwizardllc.com/
shirts/lumberjill/unisex-classic-tee-sand.jpg,Lumberjill,"A playful and practical t-shirt for the adventurous lumberjill.","woman, women, female, girl, lady, mountain, lumberjill, flannel, outdoors, t-shirt",https://mountainwizardllc.etsy.com/listing/1765653980/mountain-lumber-jill-unisex-classic-tee,https://mountainwizardllc.com/
shirts/viking/unisex-classic-tee-sand-front.jpg,Viking,"A t-shirt inspired by Norse warriors, channeling the strength and legacy of Viking heritage.","man, guy, male, boy, mountain, viking, t-shirt, norse, norway, norwegian",https://mountainwizardllc.etsy.com/listing/1817132640/mountain-viking-unisex-classic-tee,https://mountainwizardllc.com/
shirts/valkyrie/unisex-classic-tee-sand-front.jpg,Valkyrie,"A t-shirt representing Valkyries, the fierce and noble figures from Norse mythology.","woman, women, female, girl, lady, mountain, valkyrie, t-shirt, norse, norway, norwegian",https://mountainwizardllc.etsy.com/listing/1817133838/mountain-valkyrie-unisex-classic-tee,https://mountainwizardllc.com/
shirts/vampire/unisex-classic-tee-sand-front.jpg,Vampire,"A spooky t-shirt perfect for vampire enthusiasts.","man, guy, male, boy, vampire, mountain, gothic, Halloween, t-shirt",https://www.etsy.com/listing/1808657307/mountain-vampire-unisex-classic-tee?click_key=afa6c873ace994f3c7c97e9d2133d9573098cda7%3A1808657307&click_sum=c77f7e92&ref=shop_home_active_14,https://mountainwizardllc.com/
shirts/werewolf/unisex-classic-tee-sand-front.jpg,Werewolf,"A fierce and bold t-shirt design for werewolf fans.","man, guy, male, boy, mountain, werewolf, horror, Halloween, t-shirt",https://www.etsy.com/listing/1794446704/mountain-werewolf-unisex-classic-tee?click_key=9e1f9a1096149d28498eb2483f79fee100472842%3A1794446704&click_sum=ad4a3cda&ref=shop_home_active_12,https://mountainwizardllc.com/
shirts/witch/unisex-classic-tee-sand-front.jpg,Witch,"A magical t-shirt for the enchanting witch in your life.","woman, women, female, girl, lady, mountain, witch, magic, Halloween, t-shirt",https://www.etsy.com/listing/1808656789/mountain-witch-unisex-classic-tee?click_key=7e3620d1fb9ca021fe5d4b8d7e0e304892982deb%3A1808656789&click_sum=8f2f56a7&ref=shop_home_active_13,https://mountainwizardllc.com/
